,Linear Regression,Lasso,Ridge,Elastic Net
MSE,3.7279283306815105,3.7187197946273183,3.727853769491777,3.678636493022796
R2,0.8555568430680086,0.8559136390952934,0.8555597320327832,0.8574667157937813
CV_MSE,2.726348202582372,2.723427726454491,2.7263530301456496,2.716344544697982
